seqno,configno,fitnessScore,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
6545,1639,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0,0.5,20
6545,1654,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.1,0,20
6545,1659,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.1,0.1,20
6545,1664,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.1,0.5,20
6545,1679,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.5,0,20
6545,1684,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.5,0.1,20
6545,1689,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0.5,0.5,20
6546,1597,3263.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6546,1598,3263.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6547,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6548,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6549,1597,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6549,1598,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6550,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6550,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6551,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6551,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6551,1952,92.333333333,20 64 1,FALSE,FALSE,FALSE,30,0,0.1
6551,1953,92.333333333,20 64 1,FALSE,FALSE,FALSE,30,0,0.5
6551,1957,92.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.1,0.1
6551,1958,92.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.1,0.5
6551,1962,92.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.5,0.1
