seqno,configno,fitnessScore,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
6381,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6382,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6382,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6383,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6383,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6384,1597,83.459,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6384,1598,83.459,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6385,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6385,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6386,2724,85.19825,no,FALSE,TRUE,FALSE,30,100,20
6387,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6387,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6388,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6388,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6389,1597,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6389,1598,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6390,1597,83.245,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6390,1598,83.245,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6391,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6391,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6392,1724,90,20 64 1,FALSE,TRUE,FALSE,30,100,20
6393,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6394,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6394,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6395,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6395,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6396,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6396,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6397,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6397,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6398,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6398,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6399,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6400,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6400,1954,83.5,20 64 1,FALSE,FALSE,FALSE,30,0,20
6400,1959,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.1,20
6400,1964,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.5,20
6400,1969,83.5,20 64 1,FALSE,FALSE,FALSE,30,10,20
6401,2724,85.19825,no,FALSE,TRUE,FALSE,30,100,20
6402,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6403,1847,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6403,1848,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6404,1724,90,20 64 1,FALSE,TRUE,FALSE,30,100,20
6405,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6406,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6406,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6406,1952,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0,0.1
6406,1953,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0,0.5
6406,1957,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.1,0.1
