seqno,configno,distance,medianpercid,medianeval,hits,fitnessScore
465,1724,0,99.851,0,1,79.9255
466,1724,0,99.707,0,1,79.8535
467,1724,0,100,0,1,80
468,1724,0,100,0,1,80
473,1724,0,100,0,1,80
474,1724,0,100,0,2,90
475,1724,0,100,0,1,80
477,1724,0,100,0,2,90
478,1724,0,100,0,1,80
480,1724,0,99.849,0,1,79.9245
484,1724,0,100,0,1,80
485,1724,0,100,0,1,80
488,1724,0,100,0,1,80
489,1724,0,99.848,0,1,79.924
491,1724,0,100,0,1,80
497,1724,0,100,0,1,80
498,1724,0,100,0,1,80
499,1724,0,100,0,1,80
502,1724,0,100,0,1,80
505,1724,0,100,0,1,80
508,1724,0,100,0,1,80
509,1724,0,99.792,0,1,79.896
512,1724,0,100,0,1,80
514,1724,0,100,0,1,80
515,1724,0,100,0,1,80
517,1724,0,100,0,1,80
519,1724,0,100,0,1,80
520,1724,0,100,0,1,80
521,1724,0,100,0,1,80
526,1724,0,100,0,2,90
528,1724,0,100,0,1,80
529,1724,0,100,0,1,80
531,1724,0,100,0,1,80
533,1724,0,100,0,1,80
538,1724,0,100,0,1,80
542,1724,0,100,0,1,80
543,1724,0,99.548,0,1,79.774
544,1724,0,100,0,3,100
545,1724,0,100,0,1,80
546,1724,0,99.553,0,1,79.7765
548,1724,0,100,0,1,80
549,1724,0,100,0,1,80
550,1724,0,99.847,0,1,79.9235
551,1724,0,100,0,1,80
552,1724,0,100,0,1,80
555,1724,0,99.24,0,1,79.62
557,1724,0,100,0,1,80
562,1724,0,99.846,0,1,79.923
563,1724,0,100,0,1,80
564,1724,0,100,0,1,80
565,1724,0,100,0,1,80
567,1724,0,100,0,1,80
576,1724,0,100,0,1,80
577,1724,0,97.8835,0,2,88.94175
578,1724,0,100,0,1,80
587,1724,0,100,0,1,80
590,1724,0,100,0,1,80
592,1724,0,100,0,1,80
595,1724,0,100,0,1,80
596,1724,0,100,0,1,80
599,1724,0,100,0,1,80
601,1724,0,100,0,1,80
602,1724,0,100,0,1,80
609,1724,0,100,0,1,80
611,1724,0,98.9395,0,2,89.46975
613,1724,0,100,0,1,80
614,1724,0,100,0,1,80
615,1724,0,100,0,1,80
618,1724,0,100,0,1,80
622,1724,0,100,0,1,80
625,1724,0,100,0,1,80
627,1724,0,100,0,1,80
628,1724,0,100,0,1,80
629,1724,0,100,0,1,80
631,1724,0,100,0,2,90
632,1724,0,100,0,1,80
634,1724,0,100,0,1,80
637,1724,0,100,0,1,80
639,1724,0,100,0,1,80
640,1724,0,99.83,0,1,79.915
647,1724,0,100,0,1,80
648,1724,0,100,0,1,80
654,1724,0,100,0,2,90
657,1724,0,100,0,1,80
661,1724,0,100,0,1,80
665,1724,0,95.833,0,1,77.9165
666,1724,0,99.408,0,1,79.704
667,1724,0,100,0,1,80
672,1724,0,100,0,1,80
