configno,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
104,yes,TRUE,TRUE,TRUE,100,0,20
105,yes,TRUE,TRUE,TRUE,100,0,100
106,yes,TRUE,TRUE,TRUE,100,0.1,0
107,yes,TRUE,TRUE,TRUE,100,0.1,0.1
108,yes,TRUE,TRUE,TRUE,100,0.1,0.5
109,yes,TRUE,TRUE,TRUE,100,0.1,20
110,yes,TRUE,TRUE,TRUE,100,0.1,100
111,yes,TRUE,TRUE,TRUE,100,0.5,0
112,yes,TRUE,TRUE,TRUE,100,0.5,0.1
113,yes,TRUE,TRUE,TRUE,100,0.5,0.5
114,yes,TRUE,TRUE,TRUE,100,0.5,20
115,yes,TRUE,TRUE,TRUE,100,0.5,100
116,yes,TRUE,TRUE,TRUE,100,10,0
117,yes,TRUE,TRUE,TRUE,100,10,0.1
118,yes,TRUE,TRUE,TRUE,100,10,0.5
119,yes,TRUE,TRUE,TRUE,100,10,20
120,yes,TRUE,TRUE,TRUE,100,10,100
121,yes,TRUE,TRUE,TRUE,100,100,0
122,yes,TRUE,TRUE,TRUE,100,100,0.1
123,yes,TRUE,TRUE,TRUE,100,100,0.5
124,yes,TRUE,TRUE,TRUE,100,100,20
125,yes,TRUE,TRUE,TRUE,100,100,100
126,yes,TRUE,TRUE,FALSE,0,0,0
127,yes,TRUE,TRUE,FALSE,0,0,0.1
128,yes,TRUE,TRUE,FALSE,0,0,0.5
129,yes,TRUE,TRUE,FALSE,0,0,20
130,yes,TRUE,TRUE,FALSE,0,0,100
131,yes,TRUE,TRUE,FALSE,0,0.1,0
132,yes,TRUE,TRUE,FALSE,0,0.1,0.1
133,yes,TRUE,TRUE,FALSE,0,0.1,0.5
134,yes,TRUE,TRUE,FALSE,0,0.1,20
135,yes,TRUE,TRUE,FALSE,0,0.1,100
136,yes,TRUE,TRUE,FALSE,0,0.5,0
137,yes,TRUE,TRUE,FALSE,0,0.5,0.1
138,yes,TRUE,TRUE,FALSE,0,0.5,0.5
139,yes,TRUE,TRUE,FALSE,0,0.5,20
140,yes,TRUE,TRUE,FALSE,0,0.5,100
141,yes,TRUE,TRUE,FALSE,0,10,0
142,yes,TRUE,TRUE,FALSE,0,10,0.1
143,yes,TRUE,TRUE,FALSE,0,10,0.5
144,yes,TRUE,TRUE,FALSE,0,10,20
145,yes,TRUE,TRUE,FALSE,0,10,100
146,yes,TRUE,TRUE,FALSE,0,100,0
147,yes,TRUE,TRUE,FALSE,0,100,0.1
148,yes,TRUE,TRUE,FALSE,0,100,0.5
149,yes,TRUE,TRUE,FALSE,0,100,20
150,yes,TRUE,TRUE,FALSE,0,100,100
151,yes,TRUE,TRUE,FALSE,0.1,0,0
152,yes,TRUE,TRUE,FALSE,0.1,0,0.1
153,yes,TRUE,TRUE,FALSE,0.1,0,0.5
154,yes,TRUE,TRUE,FALSE,0.1,0,20
155,yes,TRUE,TRUE,FALSE,0.1,0,100
156,yes,TRUE,TRUE,FALSE,0.1,0.1,0
157,yes,TRUE,TRUE,FALSE,0.1,0.1,0.1
158,yes,TRUE,TRUE,FALSE,0.1,0.1,0.5
159,yes,TRUE,TRUE,FALSE,0.1,0.1,20
160,yes,TRUE,TRUE,FALSE,0.1,0.1,100
161,yes,TRUE,TRUE,FALSE,0.1,0.5,0
162,yes,TRUE,TRUE,FALSE,0.1,0.5,0.1
163,yes,TRUE,TRUE,FALSE,0.1,0.5,0.5
164,yes,TRUE,TRUE,FALSE,0.1,0.5,20
165,yes,TRUE,TRUE,FALSE,0.1,0.5,100
166,yes,TRUE,TRUE,FALSE,0.1,10,0
167,yes,TRUE,TRUE,FALSE,0.1,10,0.1
168,yes,TRUE,TRUE,FALSE,0.1,10,0.5
169,yes,TRUE,TRUE,FALSE,0.1,10,20
170,yes,TRUE,TRUE,FALSE,0.1,10,100
171,yes,TRUE,TRUE,FALSE,0.1,100,0
172,yes,TRUE,TRUE,FALSE,0.1,100,0.1
173,yes,TRUE,TRUE,FALSE,0.1,100,0.5
174,yes,TRUE,TRUE,FALSE,0.1,100,20
175,yes,TRUE,TRUE,FALSE,0.1,100,100
176,yes,TRUE,TRUE,FALSE,0.5,0,0
177,yes,TRUE,TRUE,FALSE,0.5,0,0.1
178,yes,TRUE,TRUE,FALSE,0.5,0,0.5
179,yes,TRUE,TRUE,FALSE,0.5,0,20
180,yes,TRUE,TRUE,FALSE,0.5,0,100
181,yes,TRUE,TRUE,FALSE,0.5,0.1,0
182,yes,TRUE,TRUE,FALSE,0.5,0.1,0.1
183,yes,TRUE,TRUE,FALSE,0.5,0.1,0.5
184,yes,TRUE,TRUE,FALSE,0.5,0.1,20
185,yes,TRUE,TRUE,FALSE,0.5,0.1,100
186,yes,TRUE,TRUE,FALSE,0.5,0.5,0
187,yes,TRUE,TRUE,FALSE,0.5,0.5,0.1
188,yes,TRUE,TRUE,FALSE,0.5,0.5,0.5
189,yes,TRUE,TRUE,FALSE,0.5,0.5,20
190,yes,TRUE,TRUE,FALSE,0.5,0.5,100
191,yes,TRUE,TRUE,FALSE,0.5,10,0
192,yes,TRUE,TRUE,FALSE,0.5,10,0.1
