seqno,configno,hits,distance,averagepercid,averageeval,medianpercid,medianeval,w_dist,w_eval,fitnessScore
1,1,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,2,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,3,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,4,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,5,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,6,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,7,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,8,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,9,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,10,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,11,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,12,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,13,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,14,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,15,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,16,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,17,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,18,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,19,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,20,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,21,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,22,3,5,99.074,0,100,0,1.4,10,91.4
1,23,3,5,99.074,0,100,0,1.4,10,91.4
1,24,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,25,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,26,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,27,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,28,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,29,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,30,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,31,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,32,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,33,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,34,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,35,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,36,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,37,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,38,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,39,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,40,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,41,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,42,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,43,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,44,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,45,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,46,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,47,3,5,99.074,0,100,0,1.4,10,91.4
1,48,3,5,99.074,0,100,0,1.4,10,91.4
1,49,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,50,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,51,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,52,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,53,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,54,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,55,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,56,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,57,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,58,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,59,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,60,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,61,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,62,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,63,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,64,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,65,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,66,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,67,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,68,3,6,99.074,0,100,0,1.166666666,10,91.16666667
1,69,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,70,1,6,99.055,0,99.055,0,1.166666666,10,70.69416667
1,71,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,72,3,5,99.074,0,100,0,1.4,10,91.4
1,73,3,5,99.074,0,100,0,1.4,10,91.4
1,74,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,75,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,76,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,77,3,5,99.074,0,100,0,1.4,10,91.4
1,78,3,5,99.074,0,100,0,1.4,10,91.4
1,79,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,80,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,81,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,82,3,5,99.074,0,100,0,1.4,10,91.4
1,83,3,5,99.074,0,100,0,1.4,10,91.4
1,84,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,85,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,86,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,87,3,5,99.074,0,100,0,1.4,10,91.4
1,88,3,5,99.074,0,100,0,1.4,10,91.4
1,89,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,90,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,91,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,92,3,5,99.074,0,100,0,1.4,10,91.4
1,93,3,5,99.074,0,100,0,1.4,10,91.4
1,94,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,95,1,5,99.055,0,99.055,0,1.4,10,70.9275
1,96,1,4,99.055,0,99.055,0,1.75,10,71.2775
1,97,3,4,99.074,0,100,0,1.75,10,91.75
1,98,3,4,99.074,0,100,0,1.75,10,91.75
1,99,1,3,99.055,0,99.055,0,2.333333333,10,71.86083333
1,100,1,4,99.055,0,99.055,0,1.75,10,71.2775
2,1,1,6,100,0,100,0,1.166666666,10,71.16666667
2,2,1,6,100,0,100,0,1.166666666,10,71.16666667
2,3,1,6,100,0,100,0,1.166666666,10,71.16666667
2,4,1,5,100,0,100,0,1.4,10,71.4
2,5,1,6,100,0,100,0,1.166666666,10,71.16666667
2,6,1,6,100,0,100,0,1.166666666,10,71.16666667
2,7,1,6,100,0,100,0,1.166666666,10,71.16666667
2,8,1,6,100,0,100,0,1.166666666,10,71.16666667
2,9,1,5,100,0,100,0,1.4,10,71.4
2,10,1,6,100,0,100,0,1.166666666,10,71.16666667
2,11,1,6,100,0,100,0,1.166666666,10,71.16666667
2,12,1,6,100,0,100,0,1.166666666,10,71.16666667
2,13,1,6,100,0,100,0,1.166666666,10,71.16666667
2,14,1,5,100,0,100,0,1.4,10,71.4
2,15,1,6,100,0,100,0,1.166666666,10,71.16666667
2,16,1,6,100,0,100,0,1.166666666,10,71.16666667
2,17,1,6,100,0,100,0,1.166666666,10,71.16666667
2,18,1,6,100,0,100,0,1.166666666,10,71.16666667
2,19,1,5,100,0,100,0,1.4,10,71.4
2,20,1,6,100,0,100,0,1.166666666,10,71.16666667
2,21,1,5,100,0,100,0,1.4,10,71.4
2,22,1,5,100,0,100,0,1.4,10,71.4
2,23,1,5,100,0,100,0,1.4,10,71.4
2,24,1,4,100,0,100,0,1.75,10,71.75
2,25,1,5,100,0,100,0,1.4,10,71.4
2,26,1,6,100,0,100,0,1.166666666,10,71.16666667
2,27,1,6,100,0,100,0,1.166666666,10,71.16666667
2,28,1,6,100,0,100,0,1.166666666,10,71.16666667
2,29,1,5,100,0,100,0,1.4,10,71.4
2,30,1,6,100,0,100,0,1.166666666,10,71.16666667
2,31,1,6,100,0,100,0,1.166666666,10,71.16666667
2,32,1,6,100,0,100,0,1.166666666,10,71.16666667
